province,district,name,HMIS_code,DHIS2_UID,smartcare_GUID,eLMIS_ID,iHRIS_ID,location,ownership,facility_type,longitude,latitude,catchment_population_head_count,catchment_population_cso,operation_status
Eastern,Lusangazi,Chibale Health Post,,IanWssOOVn5,,,,,GRZ,Health Post,,,,,
Eastern,Lusangazi,Chikowa Rural Health Centre,,jaPS9Ha22SH,,,,,GRZ,Health Centre Rural,,,,,
Eastern,Lusangazi,Makale Health Post,,E4Rlk0ms1gy,,,,,GRZ,Health Post,,,,,
Eastern,Lusangazi,Mawanda Rural Health Centre,,dHEtNDrdX9I,,,,,GRZ,Health Centre Rural,,,,,
Eastern,Petauke,Mkwama Mini Hospital,,iMxQOLHwdEB,,,,,GRZ,Mini Hospital ,,,,,
Eastern,Lusangazi,Mwanika Rural Health Centre,,wc55X7UmKC3,,,,,GRZ,Health Centre Rural,,,,,
Eastern,Petauke,Nkwewakwewa Mini Hospital,,stFq0JUdUFD,,,,,GRZ,Mini Hospital ,,,,,
Eastern,Petauke,Nyimba Mwana Health Post,,wGwpguKaLp6,,,,,GRZ,Health Post,,,,,
Eastern,Lusangazi,Refugee Health Post,,bhyuYIJo9YY,,,,,GRZ,Health Post,,,,,
Eastern,Lusangazi,Riverside Health Post,,tGy6DTLAeU0,,,,,GRZ,Health Post,,,,,
Eastern,Lusangazi,Sandwe Rural Health Centre,,dYTRnNlm4hl,,,,,GRZ,Health Centre Rural,,,,,
Eastern,Lusangazi,Satelite 30 Rural Health Centre,,M9icqPGYM9f,,,,,GRZ,Health Centre Rural,,,,,
Eastern,Lusangazi,Satellite 18 Rural Health Centre,,M01b6mDUXdu,,,,,GRZ,Health Centre Rural,,,,,
Eastern,Lusangazi,Sichilima Health Post,,hY4osXzPP3y,,,,,GRZ,Health Post,,,,,
Eastern,Lusangazi,Ukwimi A Rural Health Centre,,wwjljmZP8O0,,,,,GRZ,Health Centre Rural,,,,,
Eastern,Lusangazi,Ukwimi B Rural Health Centre,,Dtkzotr5QS0,,,,,GRZ,Health Centre Rural,,,,,
Lusaka,Lusaka,Chimanga Clinic,,D5mP2xVrmaA,,,,,Private,Health Centre Rural,,,,,
Lusaka,Lusaka,Forest Park specialised hospital,,hryhdw3JMkT,,,,,Private,Hospital - Level 3,,,,,
Lusaka,Lusaka,Link Mediclinic,,XxKSKLwY7yu,,,,,Private,Health Centre Urban,,,,,
Lusaka,Lusaka,Medcross hospital,,SBN47gnhoAq,,,,,Private,Hospital - Level 1,,,,,
Lusaka,Chongwe,National Heart Hospital,,FTPaQkupmRs,,,,,GRZ,Hospital - Level 3,,,,,
Lusaka,Lusaka,Optimal Medical  Centre,,FMpfHKPDXyV,,,,,Private,Health Centre Urban,,,,,
Lusaka,Lusaka,St John Paul ii orthopeadic  Mission Hospital,,BaJrRLGbGJx,,,,,Faith Based ,Hospital - Level 1,,,,,
Lusaka,Lusaka,Unicohs University Hospital,,DMQGhKNZTxi,,,,,Private,Hospital - Level 2,,,,,
Muchinga,Chinsali,Cheswa,,ErW43fYW6wT,,,,,GRZ,Health Post,,,,,
Muchinga,Chinsali,Chilunda,,N5DGvDyDEuJ,,,,,GRZ,Health Post ,,,,,
Muchinga,Chinsali,Kalisha,,bRE8sKkEBA2,,,,,GRZ,Health Post ,,,,,
Muchinga,Chinsali,Shimmalule,,Oz5SlDzaLrA,,,,,GRZ,Health Post ,,,,,
Northern,Chilubi,Bukotelo Health Post,,IzeFkQ6gel6,,,,,GRZ,Health Post ,,,,,
Northern,Lupososhi,Chibaye Health Post,,u21NL4gJ8UG,,,,,GRZ,Health Post ,,,,,
Northern,Chilubi,Chichile Health Post,,wX9n6SxxZ8y,,,,,GRZ,Health Post ,,,,,
Northern,Senga Hill,Chikwanda  Health Post,,TfiuTdEq3Qq,,,,,GRZ,Health Post,,,,,
Northern,Senga Hill,Chisanzu Health Post,,Jiru3FEe8RW,,,,,GRZ,Health Post,,,,,
Northern,Senga Hill,John Chikomangome Health Post,,e3HIESgCFLk,,,,,GRZ,Health Post,,,,,
Northern,Senga Hill,John Chivuta Health Post,,VzfcwXjOMaq,,,,,GRZ,Health Post,,,,,
Northern,Chilubi,Kasansa Health Post,,znk4ha8xKPH,,,,,GRZ,Health Post ,,,,,
Northern,Senga Hill,Matanga Health Post,,xfmJEMKO9mb,,,,,GRZ,Health Post,,,,,
Northern,Lupososhi,Mpasa Health Post,,tnWZVpXC8Tn,,,,,GRZ,Health Post ,,,,,
Northern,Senga Hill,Mukunta Health Post,,W0rkeRYerZE,,,,,GRZ,Health Post,,,,,
Northern,Senga Hill,Mwenyi Health Post,,vlUT4oIjWKH,,,,,GRZ,Health Post,,,,,
Northern,Senga Hill,Ntembo  Health Post,,bQCiUuAzuQ6,,,,,GRZ,Health Post,,,,,
Northern,Senga Hill,Sementi Health Post,,kxR3RlQfkao,,,,,GRZ,Health Post,,,,,
Northwestern,Mushindano,Shafilundu Health Post,,zHTrg9Dl6Ll,,,,,GRZ,Health Post,,,,,
