uid,name,district,province
pXhz0PLiYZX,ce Chamakubi Health Post,Chibombo,Central
di3U5u7F8Y3,ce Chibombo Rural Health Centre,Chibombo,Central
B5LpoYehUfI,ce Chikobo Rural Health Centre,Chibombo,Central
g42i3akwlpj,ce Chilochabalenje Health Post,Chibombo,Central
FhCAve1Ndla,ce Chipeso Rural Health Centre,Chibombo,Central
uhVtTq0ICIF,ce Chisamba ZNS Rural Health Centre,Chibombo,Central
dhcU6eMvhRQ,ce Chitanda Rural Health Centre,Chibombo,Central
xUFGW5vo7No,ce Golden Valley Rural Health Centre,Chibombo,Central
RaMnzc06b3L,ce Harper Anne Health Centre,Chibombo,Central
h1YIvEZ6dla,ce Ipongo Rural Health Centre,Chibombo,Central
VEhbknBaEOz,ce Itumbwe Health Post,Chibombo,Central
sbFApO4who4,ce Kabangalala Rural Health Centre,Chibombo,Central
DdG82TKHJl9,ce Kamaila Health Post,Chibombo,Central
eEYycD4oleC,ce Kanwanjiba Health Post,Chibombo,Central
wfrgYBT51M1,ce Kaparu Rural Health Centre,Chibombo,Central
U9mqwYGtxbz,ce Kapila Health Post,Chibombo,Central
NeNRxi0fu5m,ce Kapopo Health Post,Chibombo,Central
TFzTMM5oaDD,ce Kayosha Rural Health Centre,Chibombo,Central
TsWOcEzohYx,ce Keembe Rural Health Centre,Chibombo,Central
xnToDJPNGP6,ce Makoka Rural Health Centre,Chibombo,Central
okixaxAZHNC,ce Malambanyama Rural Health Centre,Chibombo,Central
UCdIC6Zes0A,ce Malundu Health Post,Chibombo,Central
b3X505hzU7k,ce Mayota Health Post,Chibombo,Central
KlwgbatKrXD,ce Mboshya Rural Health Centre,Chibombo,Central
tA490zpfdaG,ce Mukashichimbwe Health Post,Chibombo,Central
us8T9gyaOYW,ce Mulonda Health Post,Chibombo,Central
BkVihZcIW8c,ce Mungule Rural Health Centre,Chibombo,Central
Nw5x6uTYgJF,ce Muntemba Rural Health Centre,Chibombo,Central
TcoKhDnIm8w,ce Musopelo Health Post,Chibombo,Central
JJUb1CUEptb,ce Mwachisompola Demo Zone Rural Health Centre,Chibombo,Central
j2BMk5tWYlm,ce Mwachisompola Rural Health Centre,Chibombo,Central
TkQRVyc9gXO,ce Mwanjuni Health Post,Chibombo,Central
wKJRSXJzO87,ce Mwelebi Keembe Health Post,Chibombo,Central
gZzOMAPaGWo,ce Naluyanda Rural Health Centre,Chibombo,Central
mde9quO59mj,ce Namayani Health Post,Chibombo,Central
w5fXlHOnHJM,ce Namununga Health Post,Chibombo,Central
M4e4R8Marao,ce Ntapwila Health Post,Chibombo,Central
xJo05sbtKbm,ce Shifwankula Health Post,Chibombo,Central
ABOFImxcg03,ce Shimukuni Rural Health Centre,Chibombo,Central
Zve7Ecm6Gq5,ce SR Lucy O’Brien Memorial Rural Health Centre,Chibombo,Central
