province,district,name,HMIS_code,DHIS2_UID,smartcare_GUID,eLMIS_ID,iHRIS_ID,location,ownership,facility_type,longitude,latitude,catchment_population_head_count,catchment_population_cso,operation_status
Central,Chibombo,Mayota Health Post,,b3X505hzU7k,,,,,GRZ,Health Post,,,,,Operational
Central,Chitambo,Kasuko Health Post,,HjsFjJD6f2C,,,,,GRZ,Health Post,,,,,Operational
Central,Chitambo,Katikulula Health Centre Urban,,VFvUpOfwLcf,,,,,GRZ,Urban Health Centre,,,,,Operational
Central,Chitambo,Katongo Health Post,,aw56EhZHVrx,,,,,GRZ,Health Post,,,,,Operational
Central,Chitambo,Mateyo Kakumbi Health Post,,VSJvxqyHd6d,,,,,GRZ,Health Post,,,,,Operational
Central,Chitambo,Mukando Health Post,,YnGrfxRZJlQ,,,,,GRZ,Health Post,,,,,Operational
Central,Chitambo,Mwimbula Health Centre Urban,,gKFtRmon7V1,,,,,GRZ,Urban Health Centre,,,,,Operational
Central,Itezhi-tezhi,Kabanga Health Post,,M7cWNqs0WX2,,,,,GRZ,Health Post,,,,,Operational
Central,Kapiri-Mposhi,Kabaka Health Post,,Qh0I0LwIULH,,,,,GRZ,Health Post,,,,,Operational
Central,Kapiri-Mposhi,Kato Health Post,,mMDwgJ1WBIb,,,,,GRZ,Health Post,,,,,Operational
Central,Kapiri-Mposhi,Kawale Health Post,,xrfzD4yHufp,,,,,GRZ,Health Post,,,,,Operational
Central,Luano,Busa Rural Health Post,,xE4m8C1QFSB,,,,,GRZ,Rural Health Centre,,,,,Operational
Central,Luano,Mapapa Rural Health Post,,hIlH0b5uTFM,,,,,GRZ,Rural Health Centre,,,,,Operational
Central,Serenje,Chibuyesaili  Health Post,,phBbhbMt0oI,,,,,GRZ,Health Post,,,,,Operational
Central,Serenje,Kamena  Health Post,,OyZd26geYSI,,,,,GRZ,Health Post,,,,,Operational
Central,Serenje,Mukope Health Post,,ZGg2b3JthCM,,,,,GRZ,Health Post,,,,,Operational
Central,Serenje,Mutaa Health Post,,t7HJCpi4Y8x,,,,,GRZ,Health Post,,,,,Operational
Central,Serenje,Yoram Mwanje Health Post,,U0NoFt2id1a,,,,,GRZ,Health Post,,,,,Operational
Copperbelt,Chililabombwe,Fikolongo Health Post,,wrZGh8qFq4d,,,,,GRZ,Health Post,,,,,Operational
